casas	casa+N+F+PL
casinhas	casa+N+DIM+F+PL
casarões	casa+N+AUG+M+PL
sabidos	saber+V+PTPASS+M+PL
sabidos	sabido+A+M+PL
sabiam	saber+V+IMPF+3+PL
elogiava-os	elogiar+V.ele.ACC.3.M.PL+IMPF+1+SG
elogiava-os	elogiar+V.ele.ACC.3.M.PL+IMPF+3+SG
elogiavam-lhe	elogiar+V.ele.DAT.3.SG+IMPF+3+PL
elogiava-nos	elogiar+nós.AD.1.PL+IMPF+1+SG
elogiava-nos	elogiar+nós.AD.1.PL+IMPF+2+SG
elogiava-nos	elogiar+nós.AD.1.PL+IMPF+3+SG
elogiavam-nos	elogiar+V.ele.ACC.3.M.PL+IMPF+3+PL
elogiavam-nos	elogiar+V.nós.AD.1.PL+IMPF+3+PL
expõe-nos	expor+V.ele.ACC.3.M.PL+PRS+2+SG
expõe-nos	expor+V.nós.AD.1.PL+PRS+2+SG
expõe-nos	expor+V.ele.ACC.3.M.PL+PRS+3+SG
expõe-nos	expor+V.nós.AD.1.PL+PRS+3+SG
expõe-nos	expor+V.ele.ACC.3.M.PL+IMP+2+SG
expõe-nos	expor+V.nós.AD.1.PL+IMP+2+SG
dão-nos	dar+V.ele.ACC.3.M.PL+PRS+3+PL
dão-nos	dar+V.nós.AD.1.PL+PRS+3+PL
